Sl_No,Transmission_Type,Ownership,Fuel_Used,km_driven,Ex_Showroom_Price,On_road_Price,selling_price,Place_of_Origin,Complete_Info,Age,MRP
2315,""" Manual""",""" 1st Owner""", Petrol,60850,NULL,565000.0,341699, Kolkata, 2013 Maruti Swift Dzire VXI 1.2 BS IV Manual,9,565000.0
2316,""" Manual""",""" 1st Owner""", Petrol,17021,634000.0,NULL,424699, Kolkata, 2018 Volkswagen Ameo COMFORTLINE 1.0 Manual,4,760800.0
2317,""" Manual""",""" 1st Owner""", Petrol,4363,NULL,619000.0,589699, Kolkata, 2020 Maruti Swift VXI Manual,2,619000.0
2318,""" Manual""",""" 1st Owner""", Diesel,53877,1270000.0,NULL,905299, Kolkata, 2015 Mahindra Scorpio S10 Manual,7,1524000.0
2319,""" Manual""",""" 1st Owner""", Petrol,36988,NULL,619000.0,534299, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
2320,""" Manual""",""" 1st Owner""", Petrol,13130,NULL,630000.0,565399, Kolkata, 2019 Maruti New  Wagon-R VXI 1.0 Manual,3,630000.0
2321,""" Manual""",""" 1st Owner""", Petrol,5210,NULL,396000.0,287999, Kolkata, 2015 Maruti Alto 800 LXI Manual,7,396000.0
2322,""" Manual""",""" 1st Owner""", Diesel,30661,NULL,1603000.0,942799, Kolkata, 2019 Mahindra XUV 3OO W8 (O) Dual tone Diesel Manual,3,1603000.0
2323,""" Manual""",""" 1st Owner""", Petrol,23658,596000.0,NULL,366199, Kolkata, 2014 Hyundai i20 MAGNA O 1.2 Manual,8,715200.0
2324,""" Manual""",""" 1st Owner""", Petrol,2152,NULL,326000.0,280399, Kolkata, 2016 Maruti Alto 800 VXI Manual,6,326000.0
2325,""" Manual""",""" 1st Owner""", Petrol,30291,NULL,619000.0,537899, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
2326,""" Manual""",""" 1st Owner""", Petrol,113748,NULL,394000.0,200399, Kolkata, 2013 Maruti Alto K10 LXI Manual,9,394000.0
2327,""" Automatic""",""" 1st Owner""", Petrol,21061,1039000.0,NULL,702699, Kolkata, 2016 Honda City SV CVT PETROL Automatic,6,1246800.0
2328,""" Manual""",""" 1st Owner""", Petrol,29821,NULL,307000.0,249099, Kolkata, 2016 Maruti Alto 800 LXI Manual,6,307000.0
2329,""" Manual""",""" 1st Owner""", Petrol,13801,NULL,396000.0,215099, Kolkata, 2013 Maruti Alto 800 LXI Manual,9,396000.0
2330,""" Manual""",""" 1st Owner""", Petrol,17152,NULL,326000.0,261999, Kolkata, 2017 Maruti Alto 800 VXI Manual,5,326000.0
2331,""" Manual""",""" 1st Owner""", Petrol,27560,NULL,385000.0,284099, Kolkata, 2012 Maruti Wagon R 1.0 VXI Manual,10,385000.0
2332,""" Manual""",""" 1st Owner""", Petrol,34856,NULL,565000.0,388299, Kolkata, 2013 Maruti Swift Dzire VXI 1.2 BS IV Manual,9,565000.0
2333,""" Manual""",""" 1st Owner""", Petrol,4407,NULL,681000.0,565799, Kolkata, 2018 Maruti Baleno DELTA 1.2 K12 Manual,4,681000.0
2334,""" Manual""",""" 1st Owner""", Petrol,32958,672000.0,NULL,551599, Kolkata, 2016 Hyundai Elite i20 SPORTZ 1.2 Manual,6,806400.0
2335,""" Manual""",""" 1st Owner""", Petrol,25910,NULL,576000.0,431299, Kolkata, 2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8,576000.0
2336,""" Manual""",""" 1st Owner""", Petrol,15000,NULL,311000.0,272699, Kolkata, 2018 Maruti Alto 800 LXI Manual,4,311000.0
2337,""" Manual""",""" 1st Owner""", Petrol,27326,490000.0,NULL,342499, Kolkata, 2012 Maruti Swift VXI Manual,10,588000.0
2338,""" Manual""",""" 1st Owner""", Petrol,30573,NULL,396000.0,221199, Kolkata, 2013 Maruti Alto 800 LXI Manual,9,396000.0
2339,""" Manual""",""" 1st Owner""", Petrol,55333,NULL,326000.0,252899, Kolkata, 2017 Maruti Alto 800 VXI Manual,5,326000.0
2340,""" Manual""",""" 1st Owner""", Petrol,37252,NULL,415000.0,217699, Kolkata, 2012 Maruti Alto K10 VXI Manual,10,415000.0
2341,""" Manual""",""" 1st Owner""", Petrol,105553,NULL,565000.0,343699, Kolkata, 2013 Maruti Swift Dzire VXI 1.2 BS IV Manual,9,565000.0
2342,""" Manual""",""" 1st Owner""", Petrol,24009,NULL,307000.0,275699, Kolkata, 2017 Maruti Alto 800 LXI Manual,5,307000.0
2343,""" Manual""",""" 1st Owner""", Petrol,27730,NULL,415000.0,208299, Kolkata, 2012 Maruti Alto K10 VXI Manual,10,415000.0
2344,""" Manual""",""" 1st Owner""", Petrol,65687,992000.0,NULL,392199, Kolkata, 2013 Honda City V MT PETROL Manual,9,1190400.0
2345,""" Manual""",""" 1st Owner""", Petrol,53466,NULL,385000.0,333999, Kolkata, 2014 Maruti Wagon R Stingray VXI Manual,8,385000.0
2346,""" Manual""",""" 1st Owner""", Petrol,42197,NULL,415000.0,221699, Kolkata, 2013 Maruti Alto K10 VXI Manual,9,415000.0
2347,""" Manual""",""" 1st Owner""", Petrol,34691,NULL,680000.0,431699, Kolkata, 2014 Hyundai Grand i10 ASTA 1.2 (O) VTVT Manual,8,680000.0
2348,""" Manual""",""" 1st Owner""", Petrol,56398,NULL,587000.0,414199, Kolkata, 2015 Maruti Swift Dzire VXI 1.2 BS IV Manual,7,587000.0
2349,""" Manual""",""" 1st Owner""", Petrol,10035,NULL,648000.0,484099, Kolkata, 2018 Hyundai Grand i10 SPORTZ O 1.2 Manual,4,648000.0
2350,""" Manual""",""" 1st Owner""", Petrol,31288,NULL,612000.0,343499, Kolkata, 2013 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,9,612000.0
2351,""" Manual""",""" 1st Owner""", Petrol,46442,NULL,490000.0,400999, Kolkata, 2014 Maruti Swift ZXI Manual,8,490000.0
2352,""" Manual""",""" 1st Owner""", Petrol,22271,NULL,396000.0,252599, Kolkata, 2015 Maruti Alto 800 LXI Manual,7,396000.0
2353,""" Manual""",""" 1st Owner""", Petrol,26729,NULL,437000.0,314299, Kolkata, 2015 Maruti Wagon R 1.0 VXI Manual,7,437000.0
2354,""" Manual""",""" 1st Owner""", Petrol,5498,NULL,396000.0,244199, Kolkata, 2014 Maruti Alto 800 LXI Manual,8,396000.0
2355,""" Manual""",""" 1st Owner""", Petrol,45998,NULL,605000.0,384299, Kolkata, 2014 Maruti Swift VXI Manual,8,605000.0
2356,""" Manual""",""" 1st Owner""", Petrol,26690,NULL,612000.0,438699, Kolkata, 2017 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,5,612000.0
2357,""" Manual""",""" 1st Owner""", Petrol,78780,NULL,553000.0,352899, Kolkata, 2012 Maruti Swift Dzire VXI 1.2 BS IV Manual,10,553000.0
2358,""" Manual""",""" 1st Owner""", Petrol,63619,NULL,385000.0,275299, Kolkata, 2014 Maruti Wagon R 1.0 LXI Manual,8,385000.0
2359,""" Manual""",""" 1st Owner""", Petrol,20357,684000.0,NULL,388599, Kolkata, 2015 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,7,820800.0
2360,""" Manual""",""" 1st Owner""", Petrol,71200,899000.0,NULL,473199, Kolkata, 2015 Honda City SV MT PETROL Manual,7,1078800.0
2361,""" Manual""",""" 1st Owner""", Petrol,44754,NULL,619000.0,537899, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
2362,""" Manual""",""" 1st Owner""", Petrol,62225,630000.0,NULL,458199, Kolkata, 2014 Hyundai Elite i20 SPORTZ 1.2 Manual,8,756000.0
2363,""" Manual""",""" 1st Owner""", Petrol,30041,NULL,311000.0,269499, Kolkata, 2018 Maruti Alto 800 LXI Manual,4,311000.0
2364,""" Manual""",""" 1st Owner""", Petrol,137235,NULL,396000.0,206099, Kolkata, 2014 Maruti Alto 800 LXI Manual,8,396000.0
2365,""" Manual""",""" 1st Owner""", Petrol,58032,NULL,619000.0,537899, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
2366,""" Manual""",""" 1st Owner""", Petrol,49855,NULL,619000.0,537899, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
2367,""" Manual""",""" 1st Owner""", Petrol,21864,504000.0,NULL,419699, Kolkata, 2015 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,7,604800.0
2368,""" Manual""",""" 1st Owner""", Petrol,27166,NULL,396000.0,230999, Kolkata, 2014 Maruti Alto 800 LXI Manual,8,396000.0
2369,""" Manual""",""" 1st Owner""", Petrol,27063,NULL,396000.0,225099, Kolkata, 2014 Maruti Alto 800 LXI Manual,8,396000.0
