,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
235,Manual,1st Owner,Petrol,31472,867899,Noida,2019 Hyundai VENUE S MT Turbo GDI 1.0L Manual,3
236,Automatic,3rd Owner,Petrol,55089,566699,Noida,2017 Maruti Baleno DELTA 1.2 K12 AMT Automatic,5
237,Manual,1st Owner,Petrol,19968,1038799,Noida,2019 Ford Ecosport 1.5 TITANIUM SIGNATURE TI VCT (SUNROOF) Manual,3
238,Manual,1st Owner,Petrol,8137,577099,Noida,2019 Maruti Baleno SIGMA 1.2 K12 Manual,3
239,Automatic,2nd Owner,Petrol,51657,636299,Noida,2016 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,6
240,Manual,2nd Owner,Petrol,33484,417299,Noida,2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8
241,Manual,1st Owner,Petrol,2775,1837899,Noida,2020 MG HECTOR PLUS SHARP HYBRID PETROL Manual,2
242,Manual,1st Owner,Diesel,14603,1249899,Noida,2020 Hyundai Creta EX CRDI MT Manual,2
243,Manual,1st Owner,Petrol,65368,297799,Noida,2016 Maruti Alto K10 VXI Manual,6
244,Manual,1st Owner,Petrol + CNG,39392,821399,Noida,2018 Ford Ecosport 1.5 TITANIUM TI VCT Manual,4
245,Manual,1st Owner,Diesel,70976,554699,Noida,2015 Honda City S MT DIESEL Manual,7
246,Manual,1st Owner,Diesel,26890,802299,Noida,2017 Ford Ecosport 1.5 TDCI TITANIUM PLUS Manual,5
247,Manual,2nd Owner,Diesel,195015,475699,Noida,2015 Honda City V MT DIESEL Manual,7
248,Manual,1st Owner,Petrol,24164,533699,Noida,2019 Maruti Swift LXI Manual,3
249,Manual,1st Owner,Petrol,17923,389399,Noida,2018 Maruti Alto K10 VXI Manual,4
250,Manual,1st Owner,Diesel,82295,964299,Noida,2014 Toyota Innova 2.5 VX 8 STR BS IV Manual,8
251,Manual,2nd Owner,Petrol,61754,401299,Noida,2014 Maruti Swift VXI Manual,8
