,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
58,Manual,1st Owner,Petrol,54872,364799,Mumbai,2015 Maruti Wagon R 1.0 VXI Manual,7
59,Manual,1st Owner,Petrol,6305,534799,Mumbai,2018 Maruti Celerio ZXI OPT Manual,4
60,Manual,1st Owner,Petrol,28634,1278599,Mumbai,2020 KIA SELTOS HTK PLUS 1.5 PETROL Manual,2
61,Automatic,1st Owner,Petrol,12331,1911499,Mumbai,2020 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT Automatic,2
62,Automatic,1st Owner,Petrol,31005,351199,Mumbai,2015 Maruti Wagon R 1.0 VXI AMT Automatic,7
63,Automatic,1st Owner,Petrol,9179,1119599,Mumbai,2019 Hyundai VENUE 1.0 TURBO GDI SX+ AT Automatic,3
64,Manual,2nd Owner,Diesel,69976,383799,Mumbai,2012 Maruti Swift VDI Manual,10
65,Manual,1st Owner,Petrol,85211,678399,Mumbai,2016 Honda City VX MT PETROL Manual,6
66,Automatic,1st Owner,Petrol,13105,788399,Mumbai,2019 Honda Amaze 1.2 V CVT I VTEC Automatic,3
67,Manual,2nd Owner,Petrol,22716,934099,Mumbai,2019 Hyundai VENUE 1.0L Turbo GDI SX MT Manual,3
68,Manual,1st Owner,Petrol,34633,539399,Mumbai,2016 Honda Jazz VX  1.2 Manual,6
69,Automatic,2nd Owner,Petrol,19400,1023599,Mumbai,2017 Honda City ZX CVT Automatic,5
70,Automatic,1st Owner,Petrol,26650,1911499,Mumbai,2020 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT Automatic,2
71,Manual,1st Owner,Petrol,25895,537999,Mumbai,2016 Hyundai Elite i20 MAGNA 1.2 Manual,6
72,Manual,1st Owner,Petrol,21639,456499,Mumbai,2016 Hyundai Grand i10 ASTA 1.2 (O) VTVT Manual,6
73,Manual,2nd Owner,Petrol,15692,561499,Mumbai,2016 Hyundai Elite i20 SPORTZ 1.2 Manual,6
74,Manual,2nd Owner,Petrol,18537,408399,Mumbai,2016 Maruti Wagon R 1.0 VXI Manual,6
75,Manual,1st Owner,Petrol,13712,358899,Mumbai,2014 Maruti Wagon R 1.0 LXI Manual,8
76,Manual,1st Owner,Petrol,16566,528699,Mumbai,2015 Honda Jazz 1.2 S MT Manual,7
77,Automatic,1st Owner,Petrol,25130,1143799,Mumbai,2019 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,3
78,Manual,2nd Owner,Diesel,79569,601099,Mumbai,2015 Hyundai Elite i20 ASTA 1.4 CRDI Manual,7
79,Automatic,1st Owner,Petrol,8856,1171199,Mumbai,2018 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,4
80,Automatic,1st Owner,Petrol,15953,1149199,Mumbai,2018 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,4
81,Manual,2nd Owner,Petrol,58292,401199,Mumbai,2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,8
82,Manual,1st Owner,Petrol + CNG,25886,323299,Mumbai,2014 Maruti Alto K10 LXI CNG Manual,8
83,Automatic,1st Owner,Petrol,66563,678599,Mumbai,2016 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,6
84,Manual,2nd Owner,Petrol,38225,408399,Mumbai,2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,8
85,Automatic,1st Owner,Petrol,23437,1480599,Mumbai,2021 Honda City ZX CVT Automatic,1
86,Manual,1st Owner,Petrol,19415,757699,Mumbai,2017 Honda City V MT PETROL Manual,5
87,Automatic,3rd Owner,Petrol,5746,504299,Mumbai,2020 Maruti S PRESSO VXI PLUS AGS Automatic,2
88,Manual,1st Owner,Petrol,41567,474699,Mumbai,2016 Honda Jazz 1.2 SV MT Manual,6
89,Manual,1st Owner,Petrol,26508,619599,Mumbai,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
90,Manual,1st Owner,Diesel,13313,652399,Mumbai,2017 Hyundai Grand i10 ASTA 1.2 CRDI Manual,5
91,Manual,1st Owner,Petrol,25031,369299,Mumbai,2018 Hyundai Eon MAGNA PLUS Manual,4
92,Manual,1st Owner,Petrol,32503,643099,Mumbai,2016 Maruti Ciaz VXI OPT Manual,6
93,Manual,2nd Owner,Petrol,25560,588399,Mumbai,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
94,Automatic,1st Owner,Petrol,20741,960399,Mumbai,2017 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,5
95,Manual,1st Owner,Petrol,27167,371199,Mumbai,2018 Hyundai Eon ERA PLUS Manual,4
96,Manual,1st Owner,Petrol,43278,583799,Mumbai,2016 Hyundai Elite i20 SPORTZ 1.2 Manual,6
97,Manual,1st Owner,Petrol,28987,487099,Mumbai,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
98,Manual,1st Owner,Petrol,25660,767599,Mumbai,2018 Honda WR-V 1.2 i-VTEC VX MT Manual,4
99,Automatic,1st Owner,Diesel,57341,1330799,Mumbai,2018 Hyundai Creta 1.6 SX AT CRDI Automatic,4
100,Manual,1st Owner,Petrol,52222,482399,Mumbai,2015 Hyundai Elite i20 MAGNA 1.2 Manual,7
101,Manual,1st Owner,Diesel,49685,969799,Mumbai,2019 Maruti Vitara Brezza ZDI PLUS Manual,3
102,Automatic,1st Owner,Petrol,26549,1079199,Mumbai,2019 Hyundai VENUE 1.0 TURBO GDI SX+ AT Automatic,3
103,Manual,1st Owner,Petrol,21815,465799,Mumbai,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
104,Automatic,1st Owner,Petrol,55290,406999,Mumbai,2013 Hyundai Grand i10 ASTA 1.2 AT VTVT Automatic,9
105,Automatic,1st Owner,Petrol,53415,691399,Mumbai,2018 Honda Jazz 1.2 V AT Automatic,4
106,Automatic,1st Owner,Petrol,5027,731199,Mumbai,2019 Maruti Baleno DELTA 1.2 K12 AT Automatic,3
107,Manual,2nd Owner,Petrol,57325,410199,Mumbai,2014 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,8
